Custkey,DateKey,Discount Amount,Invoice Date,Invoice Number,Item Class,Item Number,Item,Line Number,List Price,Order Number,Promised Delivery Date,Sales Amount,Sales Amount Based on List Price,Sales Cost Amount,Sales Margin Amount,Sales Price,Sales Quantity,Sales Rep,U/M
10016609,12/31/2019,398.73,2019/12/31,329568,P01,15640,Super Vegetable Oil,1000,163.47,122380,12/31/2019,418.62,817.35,102.99,315.63,83.724,5,176,EA
10016609,12/31/2019,268.67,2019/12/31,329569,P01,31681,Golden Fajita French Fries,7000,275.37,123966,12/31/2019,282.07,550.74,117.45,164.62,141.035,2,176,EA
10016609,12/31/2019,398.73,2019/12/31,329569,P01,15640,Super Vegetable Oil,4000,163.47,123966,12/31/2019,418.62,817.35,102.99,315.63,83.724,5,176,EA
10016609,12/31/2019,466.45,2019/12/31,329569,P01,13447,High Top Oranges,3000,119.52,123966,12/31/2019,489.71,956.16,213.29,276.42,61.21375,8,176,EA
10016609,12/31/2019,515.51,2019/12/31,329569,P01,36942,Tell Tale New Potatos,9000,264.18,123966,12/31/2019,541.21,1056.72,290.56,250.65,135.3025,4,176,EA
10016609,12/31/2019,1761.34,2019/12/31,329569,,239772,BBB Best Creamy Peanut Butter,10000,451.31,123966,12/31/2019,1849.14,3610.48,773.75,1075.39,231.1425,8,176,EA
10016609,12/31/2019,1810.8,2019/12/31,329569,P01,265022,BBB Best Apple Preserves,11000,927.97,123966,12/31/2019,1901.08,3711.88,1095.48,805.6,475.27,4,176,EA
10026081,12/31/2019,272.523,2019/12/31,329571,,35009,Better Fancy Canned Sardines,1000,39.1545,121831,12/31/2019,6540.36,6812.883,2969.78,3570.58,37.58827586,174,154,EA
10026081,12/31/2019,397.8448,2019/12/31,329572,,35010,Better Rice Soup,1000,38.5506,121833,12/31/2019,9548.21,9946.0548,4826.77,4721.44,37.00856589,258,154,EA
10026081,12/31/2019,548.252,2019/12/31,329573,,29277,Monarch Spaghetti,1000,40.3128,121836,12/31/2019,13158.1,13706.352,6424.27,6733.83,38.70029412,340,154,EA
10026081,12/31/2019,447.64,2019/12/31,329574,,35012,Swell Canned Peaches,1000,14.256,121964,12/31/2019,10743.32,11190.96,6258.02,4485.3,13.68575796,785,154,EA
10026081,12/31/2019,26.2588,2019/12/31,329575,,19857,Moms Cole Slaw,1000,27.3537,121967,12/31/2019,630.23,656.4888,421.22,209.01,26.25958333,24,154,EA
10005099,12/31/2019,27.2495,2019/12/31,329577,,30448,Washington Cranberry Juice,2000,12.3849,123284,12/31/2019,653.92,681.1695,540.05,113.87,11.88945455,55,185,EA
