invoice_number,order_id,product_id,line_number,quantity,unit_price,sales_amount,discount_amount,cost_amount,margin_amount
329568,122380,15640,1000,5,83.724,418.62,398.73,102.99,315.63
329569,123966,31681,7000,2,141.035,282.07,268.67,117.45,164.62
329569,123966,15640,4000,5,83.724,418.62,398.73,102.99,315.63
329569,123966,13447,3000,8,61.21375,489.71,466.45,213.29,276.42
329569,123966,36942,9000,4,135.3025,541.21,515.51,290.56,250.65
329569,123966,239772,10000,8,231.1425,1849.14,1761.34,773.75,1075.39
329569,123966,265022,11000,4,475.27,1901.08,1810.8,1095.48,805.6
329571,121831,35009,1000,174,37.58827586,6540.36,272.523,2969.78,3570.58
329572,121833,35010,1000,258,37.00856589,9548.21,397.8448,4826.77,4721.44
329573,121836,29277,1000,340,38.70029412,13158.1,548.252,6424.27,6733.83
329574,121964,35012,1000,785,13.68575796,10743.32,447.64,6258.02,4485.3
329575,121967,19857,1000,24,26.25958333,630.23,26.2588,421.22,209.01
329577,123284,30448,2000,55,11.88945455,653.92,27.2495,540.05,113.87
329578,123287,24790,1000,40,13.50525,540.21,22.506,813.33,-273.12
329580,123307,37559,1000,1000,0.37718,377.18,15.72,340.1,37.08
329581,123916,62858,24000,2,152.325,304.65,290.1766,170.24,134.41
329581,123916,38842,14000,4,98.8,395.2,376.44,214.29,180.91
329581,123916,465052,4000,2,491.75,983.5,936.8,600.54,382.96
329581,123916,29260,7000,4,285.085,1140.34,1086.18,665.19,475.15
329581,123916,239782,2000,5,217.662,1088.31,1273.49,593.55,494.76
329581,123916,30285,1000,2,679.66,1359.32,1294.78,941.54,417.78
329584,124264,28401,2000,2,507.68,1015.36,917.52,544.55,470.81
329584,124264,20990,1000,50,47.751,2387.55,2662.45,1467.83,919.72
329585,121758,39529,49000,4,123.3,493.2,495.08,341.41,151.79
329586,121826,62770,1000,3,112.7433333,338.23,409.4144,228.87,109.36
329587,121870,63654,60000,1,255.61,255.61,262.04,84.09,171.52
329588,121906,63654,115000,1,261.05,261.05,256.6,84.09,176.96
329590,122204,26769,20000,4,68.485,273.94,269.26,158.9,115.04
329594,122310,63654,103000,1,271.93,271.93,245.72,84.09,187.84
329598,122516,29091,23000,3,82.87333333,248.62,224.66,177.97,70.65
329601,122701,30289,1000,1,791.36,791.36,699.4,546.44,244.92
329605,123243,61484,29000,13,22.84769231,297.02,359.5463,198.16,98.86
329609,123784,26769,3000,3,75.09,225.27,182.13,119.18,106.09
329613,123870,38816,62000,3,71.92666667,215.78,216.61,157.77,58.01
329615,123898,15236,2000,30,16.761,502.83,608.67,134.1,368.73
329615,123898,62616,11000,10,134.813,1348.13,1631.87,953.46,394.67
329616,123904,36001,12000,1,227.84,227.84,184.19,84.23,143.61
329616,123904,26361,9000,1,243.14,243.14,196.56,134.67,108.47
329616,123904,29071,10000,6,100.33,601.98,486.66,179.18,422.8
329616,123904,11690,3000,12,106.3558333,1276.27,1031.81,400.65,875.62
329616,123904,20990,6000,50,50.264,2513.2,2536.8,1467.83,1045.37
329617,123933,37170,22000,2,103.42,206.84,174.86,85.26,121.58
329617,123933,29255,19000,1,275.15,275.15,232.6,162.89,112.26
329617,123933,20910,12000,1,447.04,447.04,377.92,254.87,192.17
329617,123933,28401,16000,1,523.72,523.72,442.72,272.27,251.45
329617,123933,28500,33000,1,573.7,573.7,484.9801,303.54,270.16
329617,123933,27550,14000,1,587.75,587.75,496.86,296.55,291.2
329617,123933,17801,11000,1,775.58,775.58,655.65,449.69,325.89
329618,123961,62672,10000,3,135.36,406.08,298.92,121.25,284.83
329618,123961,61744,9000,1,463.03,463.03,340.83,398.76,64.27
329619,124027,13910,1000,4,56.65,226.6,204.76,127.62,98.98
329619,124027,29062,10000,3,82.87333333,248.62,224.66,136.19,112.43
329619,124027,45880,16000,1,403.31,403.31,364.44,282.05,121.26
329619,124027,26370,7000,4,107.825,431.3,389.74,230.15,201.15
329619,124027,31875,12000,2,604.34,1208.68,1092.1998,628.54,580.14
329619,124027,47801,17000,3,855.1233333,2565.37,2318.15,1427.24,1138.13
329620,124046,39563,172000,4,50.13,200.52,205.56,69.98,130.54
329620,124046,26769,76000,3,67.05666667,201.17,206.23,119.18,81.99
329620,124046,11310,16000,3,74.23333333,222.7,228.29,148.17,74.53
329620,124046,61385,207000,3,77.9,233.7,239.58,189.07,44.63
329620,124046,13447,19000,4,59.0175,236.07,242.01,106.64,129.43
329620,124046,15712,26000,3,79.84,239.52,245.55,66.24,173.28
329620,124046,60863,200000,18,12.145,218.61,247.41,119.76,98.85
329620,124046,28396,89000,36,7.061388889,254.21,260.59,118.44,135.77
329620,124046,62550,220000,1,283.93,283.93,291.07,249.3,34.63
329620,124046,60098,184000,1,284.95,284.95,292.11,180.78,104.17
329620,124046,34701,127000,3,95.84666667,287.54,294.76,93.71,193.83
329620,124046,37050,139000,4,61.725,246.9,308.66,179.22,67.68
329620,124046,26548,70000,4,61.76,247.04,308.84,175.88,71.16
329620,124046,26733,74000,4,61.76,247.04,308.84,183.23,63.81
329620,124046,29918,111000,8,37.785,302.28,309.88,183.96,118.32
329620,124046,61855,211000,5,60.578,302.89,310.51,121.25,181.64
329620,124046,63235,228000,1,308.62,308.62,316.38,252.06,56.56
329620,124046,27110,78000,5,61.8,309.0,316.75,70.25,238.75
329620,124046,18250,29000,10,30.931,309.31,317.09,138.43,170.88
329620,124046,21395,36000,3,105.53,316.59,324.54,212.82,103.77
329620,124046,26734,75000,4,66.115,264.46,330.62,184.39,80.07
329620,124046,15640,25000,4,80.72,322.88,331.0,82.39,240.49
329620,124046,30211,116000,3,89.07666667,267.23,334.06,174.58,92.65
329620,124046,37055,140000,4,67.6025,270.41,338.07,195.1,75.31
329620,124046,13917,21000,15,24.69933333,370.49,379.81,199.24,171.25
329620,124046,26563,72000,5,61.602,308.01,385.04,220.51,87.5
329620,124046,33090,125000,4,94.235,376.94,386.42,159.22,217.72
329620,124046,30210,115000,4,82.0875,328.35,410.49,189.47,138.88
329620,124046,30490,117000,2,201.49,402.98,413.1,288.43,114.55
329620,124046,61752,236000,1,377.1,377.1,426.76,389.73,-12.63
